"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 19 16:38:02 GMT 2022","Fri Aug 19 16:38:02 GMT 2022","0","tests","test_fixtures","","","","test_github_mobile_parametrize[set_up_browser_mobile0]",""
"broken","Fri Aug 19 16:38:03 GMT 2022","Fri Aug 19 16:38:03 GMT 2022","0","tests","test_parametrize","","","","test_github_mobile_indirect[browser_size0]",""
"broken","Fri Aug 19 16:38:04 GMT 2022","Fri Aug 19 16:38:04 GMT 2022","0","tests","test_skip","","","","test_github_sign_in_desktop[browser_size0]",""
"broken","Fri Aug 19 16:38:05 GMT 2022","Fri Aug 19 16:38:05 GMT 2022","0","tests","test_skip","","","","test_github_sign_in_desktop[browser_size1]",""
"broken","Fri Aug 19 16:38:02 GMT 2022","Fri Aug 19 16:38:02 GMT 2022","0","tests","test_parametrize","","","","test_github_desktop_indirect[browser_size0]",""
"broken","Fri Aug 19 16:38:00 GMT 2022","Fri Aug 19 16:38:00 GMT 2022","0","tests","test_fixtures","","","","test_github_desktop_parametrize[set_up_browser_desktop0]",""
"broken","Fri Aug 19 16:38:06 GMT 2022","Fri Aug 19 16:38:06 GMT 2022","0","tests","test_skip","","","","test_github_sign_in_mobile[browser_size1]",""
"broken","Fri Aug 19 16:38:06 GMT 2022","Fri Aug 19 16:38:06 GMT 2022","0","tests","test_skip","","","","test_github_sign_in_mobile[browser_size0]",""
